Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
Military - T & E,Risk Burn-Down and Issue Log (R&D),#111827 #F8FAFC #EF4444 #F59E0B #22C55E,"Formal sans, risk labels","Warning tags, checklist, owner badge","Risks lane, burn-down plot, mitigations column","Risk burndown, issue aging bars, status matrix",Clean white with subtle separators,"Alarmist visuals, naming individuals, sensitive details","“Military R&D risk slide, risks lane with burndown plot and mitigations column, formal typography, risk burndown and issue aging bars with status matrix, controlled red/amber/green accents, clean separators background, crisp readable, avoid naming individuals and sensitive details.”"
Military - T & E,Interface Control Document Blueprint (ICD),#0B3C5D #8BE9FD #F8FAFC #111827 #F97316,"Technical sans, mono interface IDs","Connectors, arrows, pin blocks, legend keys","Interface diagram center, ICD table sidebar, versioning strip","Interface count bars, change log timeline, status tiles",Blueprint grid,"Real endpoints/protocol details for sensitive systems, vendor logos","“Military ICD blueprint slide, central interface diagram with ICD table sidebar and version strip, mono placeholders, interface count bars and change log timeline, cyan linework with restrained orange highlights, blueprint grid background, crisp readable, avoid real sensitive protocol details and logos.”"
Military - T & E,Lab Notebook High-Contrast (Research Aesthetic),#0A0A0A #F8FAFC #A3A3A3 #22D3EE #F97316,Mono headings + clean sans labels,"Pencil, notebook tabs, equation marks, diagram arrows","Notebook panels, margin notes, figure captions","Simple plots, tables, callouts",Paper grain + light ink smudge,"Messy illegible handwriting, proprietary notes","“High-contrast lab notebook infographic slide, notebook panels with margin notes and captioned figures, mono headings, cyan accents with restrained orange highlights, simple plots and tables, paper grain with light ink smudge background, crisp readable, avoid illegible handwriting and proprietary notes.”"
Military - T & E,(DISA) Enterprise Connectivity Overview (Neutral),#0B1220 #F8FAFC #60A5FA #22D3EE #F59E0B #A3A3A3,"Clean sans, map-label style","Link nodes, globe grid, shield, router (generic)","Network overview map placeholder, service lanes, SLA tiles","Latency line, bandwidth bars, availability tiles",Subtle world grid + link-line motif,"DISA logos/seals, real network maps, sensitive topology","“DISA-inspired enterprise connectivity slide, neutral network overview with map placeholder and service lanes, SLA tiles, latency and bandwidth charts with availability tiles, blue/cyan accents with amber notes, subtle world-grid link-line background, crisp readable, no logos/seals or sensitive topology.”"
Military - T & E,Flight Test Telemetry Console (Dark),#030712 #111827 #38BDF8 #22D3EE #F59E0B #EF4444,"Condensed technical sans, numeric tiles, mono callouts","Antenna, waveform, test-point marker, checklist","Plot-first center, anomalies sidebar, test-point cards row","Time-series, sparklines, anomaly Pareto, KPI tiles",Dark graph grid + subtle noise,"Real traces, tail numbers, range/base identifiers, classification banners","“Military T&E telemetry console slide, dark plot-first layout with time-series and sparklines, anomalies sidebar and test-point cards, condensed technical typography with mono placeholders, cyan accents with amber/red warnings, subtle grid/noise background, crisp vector, no real traces or identifiers, no seals or classification marks.”"
Military - T & E,Test Readiness Review Pack (TRR) Cards,#0A2540 #F8FAFC #334155 #38BDF8 #F59E0B,"Executive-technical sans, gate-ready","Gate/checkpoint, document tabs, risk tag","Gate checklist cards, entry/exit criteria column, decision box","Readiness scorecards, risk matrix, milestone timeline",White with faint diagonal watermark,"Official seals, real gating criteria for sensitive systems","“Military T&E TRR slide, gate checklist cards with entry/exit criteria and decision box, executive-technical typography, readiness scorecards with risk matrix and milestone timeline, navy/steel palette with sky-blue accents and amber warnings, crisp vector, no seals or sensitive details.”"
Military - T & E,Clean Schematic Overlay (Systems Research),#0B3C5D #8BE9FD #F8FAFC #111827 #22C55E,"Technical sans, mono labels","Circuit blocks, arrows, nodes, connectors","Schematic center, legend block, callout cards","Block counts, interface bars, timeline strip",Blueprint grid + faint traces,"Vendor symbols, real schematics, classified markings","“Military research schematic slide, blueprint grid with clean block schematic and legend, mono placeholders, cyan linework with minimal green accents, interface bars and timeline strip, crisp vector, no vendor symbols, no real schematics, no classified markings.”"
Military - T & E,Systems Integration Lab (SIL/SIT) Status Board,#111827 #F8FAFC #22C55E #F59E0B #60A5FA #EF4444,"Condensed headers, big status tags","Blocks, cable, checklist, alert tag","Subsystem tiles, integration queue, blockers lane, next-test strip","Pass-rate bars, integration backlog trend, defect Pareto",Clean white with subtle separators,"Real subsystem names, vendor marks","“Military integration lab status slide, subsystem tiles with integration queue and blockers lane, condensed headers with big status tags, pass-rate bars and backlog trend with defect Pareto, blue accents with status colors, minimal background, crisp readable, no real subsystem names or vendor marks.”"
Military - T & E,(DARPA) Concept Pitch Deck (Bold Research),#0B1220 #F8FAFC #22D3EE #A855F7 #F59E0B,"Modern sans, big concept headers, short bullets","Lightbulb, node graph, lab flask, rocket (generic)","Big concept panel, “hypothesis” cards, experiment roadmap","TRL ladder mini, milestone timeline, risk burndown",Subtle gradient mesh + dot lattice,"DARPA logo/seals, solicitations text, proprietary claims","“DARPA-inspired concept pitch slide, bold research aesthetic with big concept panel and hypothesis cards, experiment roadmap, cyan and violet accents with amber highlights, TRL mini ladder and risk burndown, subtle dot-lattice mesh background, crisp readable, no logos/seals or solicitation text.”"
Military - T & E,Experiment Design DOE Board (Factors and Responses),#FAFAF9 #111827 #0F766E #2563EB #F59E0B,"Scientific sans, figure captions","Factor sliders, scatter dots, flask, matrix","Factors table, response plots, insights column","DOE matrix, scatter, interaction plot (simplified)",Light micro-grid,"Overclaiming causality, fake precision","“Military R&D DOE slide, factors table with response plots and insights column, scientific typography, DOE matrix and scatter with simplified interaction plot, teal/blue accents with amber notes, subtle micro-grid background, crisp credible, avoid overclaiming causality or fake precision.”"
Military - USAF,Test & Evaluation Flight Data (Instrumentation),#05070A #111827 #22D3EE #8B5CF6 #F8FAFC #F59E0B,Sleek sans; mono telemetry; emphasize units,"Sensor nodes, waveform, gauge ticks, flight path line",Instrumentation panels; parameter tiles; event marker row,Multi-parameter line charts; envelopes; scatter plots,Dark micro-grid + subtle scanlines,Overly glowy sci-fi; cluttered legends,"Test and evaluation flight data infographic, instrumentation panels with telemetry tiles, multi-parameter charts and envelopes, mono labels with units, dark micro-grid background, crisp vector, minimal text, high readability."
Military - USAF,Air Mobility Ops (Airlift Logistics),#111827 #FFFFFF #CBD5E1 #2563EB #22C55E #F97316,Functional sans; mono cargo codes; big KPIs,"Cargo pallet, forklift, route arcs, aircraft silhouette (generic), clock",Route map inset; load plan cards; exception list column,Throughput bars; on-time lines; capacity stacked bars,Light grid + faint map lines,Dense paragraphs; low-contrast tables,"Air mobility logistics infographic, route map inset and load plan cards, throughput and on-time charts, mono cargo codes, clean grid background, crisp vector, minimal text."
Military - USAF,Air Force Cyber Ops (Network Defense UI),#05070A #111827 #3B82F6 #22D3EE #EF4444 #22C55E,Condensed headers + mono telemetry,"Nodes, shield, firewall bricks, packet glyphs",Network map center; alert queue right; KPI strip top,Heatmap; event timeline; severity-tag bars,Dark grid + subtle circuit traces,Real exploit details; real org identifiers; official seals,"Air Force cyber ops dashboard infographic, central node map and alert queue, mono telemetry labels, heatmap and event timeline, blue/cyan accents with status colors, clean readable UI."
Military - USAF,Aircraft Maintenance Hangar Board (Turnaround + QA),#111827 #FFFFFF #E9ECEF #60A5FA #22C55E #EF4444,Bold status labels; mono work orders,"Wrench, torque, checklist, warning tag, tool cart",Asset cards; task lanes; QA checklist column,Turnaround gantt; defect trend; parts availability bars,Clean white + faint hangar-grid lines,Real tail numbers; squadron insignia,"Aircraft maintenance hangar infographic, asset cards and task lanes with QA checklist, turnaround gantt and defect trend charts, mono work orders, subtle hangar grid, crisp vector, minimal text."
Military - USAF,Air Force Air Tasking Board (AOC Planning),#0B1220 #F8FAFC #60A5FA #2563EB #F59E0B #CBD5E1,Modern sans; condensed headers; mono mission IDs/times,"Airspace layers, target marker (generic), runway, headset, clock",Mission rows; timing columns; objectives panel; weather tile,Sortie histogram; timeline lanes; delay Pareto; sparklines,Subtle airspace grid + faint cloud gradient,Official roundels; tail numbers; photoreal aircraft,"US Air Force air tasking board slide, mission rows and timing columns, objectives and weather panels, sortie histograms and timeline lanes, subtle airspace grid, crisp vector, minimal text, no official markings."
